Run # 1 on 6/30/2020,,,,,,,Run # 2 on 7/1/2020,,,,,,,Run # 3 on 7/2/2020,,,,
,,CO2 estimates (ppm),,,,,,,CO2 estimates (ppm),,,,,,,CO2 estimates (ppm),,
# order,Sample,T_0,T_1,T_2,,,# order,Sample,T_0,T_1,T_2,,,# order,Sample,T_0,T_1,T_2
1,101,905,1169,1817,,,1,101,766,1294,1927,,,1,101,1059,1780,2226
2,101_N,694,1374,2329,,,2,101_N,655,1538,2524,,,2,101_N,1044,2051,2749
3,102,635,1044,2048,,,3,102,619,1160,1942,,,3,102,912,1947,2670
4,102_N,564,1169,1987,,,4,102_N,638,1378,1937,,,4,102_N,804,1869,2597
5,104,581,963,1781,,,5,104,705,1085,1488,,,5,104,740,1577,2012
6,104_N,951,1310,2066,,,6,104_N,635,1172,1800,,,6,104_N,914,1643,2107
7,105,978,1465,2252,,,7,105,761,861,994,,,7,105,800,1523,2113
8,105_N,448,1033,1970,,,8,105_N,1064,1698,2379,,,8,105_N,676,1650,2301
9,106,1084,1453,2216,,,9,106,756,1202,1868,,,9,106,969,1769,2545
10,106_N,673,832,1153,,,10,106_N,612,995,1402,,,10,106_N,1051,1686,2131
11,107,616,1019,1532,,,11,107,622,964,1291,#12's 2 re-runs,,11,107,1013,1615,1948
12,107_N,550,1195,1995,,,12,107_N,656,1160,2080,1284,,12,107_N,946,1451,1683
13,109,611,1074,1750,,,13,109,656,1212,1780,1035,,13,109,774,1523,2068
14,109_N,651,1308,2188,,,14,109_N,767,1329,2061,average:,1159.83572,14,109_N,1165,1743,2492
15,201,720,1230,1873,,,15,201,704,1248,1577,,,15,201,1164,1789,2324
16,201_N,527,1133,1747,,,16,201_N,763,1387,2013,,,16,201_N,1142,1709,2142
17,202,472,803,1477,,,17,202,1045,1334,1675,,,17,202,1089,1472,1919
18,202_N,933,1254,1848,,,18,202_N,600,900,1214,,,18,202_N,1351,1451,1614
19,203,848,1042,1713,,,19,203,606,1119,1544,,,19,203,1360,1642,2087
20,203_N,597,1008,1549,,,20,203_N,584,1047,1513,,,20,203_N,1248,1384,1580
21,205,584,773,1231,,,21,205,796,990,1232,,,21,205,1193,1377,1619
22,205_N,618,1018,1698,,,22,205_N,551,1061,1578,,,22,205_N,1152,1546,2054
23,207,673,741,1138,,,23,207,573,919,1305,,,23,207,1127,1534,1920
24,207_N,523,1033,1752,,,24,207_N,712,1206,1606,,,24,207_N,1161,1643,2114
25,208,494,863,1540,,,25,208,652,1106,1454,,,25,208,1113,1519,1990
26,208_N,429,967,1653,,,26,208_N,987,1243,1617,,,26,208_N,1080,1590,2207
27,209,440,970,1683,,,27,209,832,1369,1853,,,27,209,1110,1612,2249
28,209_N,416,849,1482,,,28,209_N,804,1109,1340,,,28,209_N,1106,1342,1593
29,301,373,1149,2247,,,29,301,821,1073,1319,,,29,301,1278,1990,2957
30,301_N,384,1038,1780,,,30,301_N,752,1144,1551,,,30,301_N,1428,1716,2225
31,302,362,928,1855,,,31,302,644,1085,1814,,,31,302,1305,1739,2370
32,302_N,523,903,1007,,,32,302_N,830,1009,1377,,,32,302_N,1383,1658,2212
33,303,409,1319,2171,,,33,303,697,1403,2181,,,33,303,1384,1789,2298
34,303_N,425,913,1088,,,34,303_N,923,1360,1914,,,34,303_N,1063,1602,2016
35,305,459,1317,1342,,,35,305,980,1310,1620,,,35,305,1064,1444,1626
36,305_N,400,711,940,,,36,305_N,956,1511,2109,,,36,305_N,1082,1652,2004
37,306,379,903,1229,,,37,306,838,1078,1551,,,37,306,1233,1561,1709
38,306_N,381,659,978,,,38,306_N,827,1350,1916,,,38,306_N,1301,1580,1727
39,307,390,1165,1542,,,39,307,697,1026,807,,,39,307,1725,1873,2385
40,307_N,800,1146,1649,,,40,307_N,751,1383,2063,,,40,307_N,1572,2161,3021
41,308,412,1192,1777,,,41,308,675,1287,1817,,,41,308,1662,2162,2548
42,308_N,404,1385,2367,,,42,308_N,605,1179,1748,,,42,308_N,1537,2087,2577
43,401,430,1021,1410,,,43,401,830,1284,1664,,,43,401,1129,1496,1560
44,401_N,430,1098,1558,,,44,401_N,806,1316,1740,,,44,401_N,1092,1448,1459
45,402,419,990,1256,,,45,402,659,1177,1605,,,45,402,1332,1567,1773
46,402_N,424,976,1363,,,46,402_N,698,1126,1339,,,46,402_N,1266,1516,1453
47,403,435,842,1030,,,47,403,651,957,1229,,,47,403,1228,1469,1535
48,403_N,450,1157,1641,,,48,403_N,747,1338,1831,,,48,403_N,1239,1719,1899
49,404,419,978,1359,,,49,404,602,1148,1500,,,49,404,1267,1592,1647
50,404_N,419,1079,1735,,,50,404_N,592,951,1344,,,50,404_N,1369,1529,1680
51,407,463,899,1036,,,51,407,531,855,1154,,,51,407,1114,1451,1352
52,407_N,408,1025,1547,,,52,407_N,659,1100,1600,,,52,407_N,1118,1518,1512
53,408,406,1159,1672,,,53,408,646,1165,1761,,,53,408,1149,1712,2109
54,408_N,442,1301,1871,,,54,408_N,658,1352,2022,,,54,408_N,1155,1858,2397
55,409,400,1159,1714,,,55,409,795,1152,1534,,,55,409,1118,1788,2141
56,409_N,503,1156,1801,,,56,409_N,749,1118,1454,,,56,409_N,1092,1299,1396
57,C_soil,395,526,545,,,57,C_soil,606,580,620,,,57,C_soil,1268,1098,885
58,C_room air,317,510,502,,,58,C_room air,650,836,830,,,58,C_room air,1064,1056,777
